Ref,Val,Package,PosX,PosY,Rot,Side
"D198","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-48.500000,-96.250000,0.000000,bottom
"D199","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-58.000000,-94.250000,0.000000,bottom
"D200","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-66.000000,-95.250000,0.000000,bottom
"D201","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-76.000000,-93.750000,0.000000,bottom
"D202","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-85.000000,-94.750000,0.000000,bottom
"D203","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-104.000000,-99.750000,0.000000,bottom
"D204","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-112.000000,-101.250000,0.000000,bottom
"D205","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-120.500000,-102.750000,0.000000,bottom
"D206","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-176.000000,-103.250000,0.000000,bottom
"D207","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-184.000000,-101.250000,0.000000,bottom
"D208","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-202.500000,-97.750000,0.000000,bottom
"D209","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-211.000000,-95.750000,0.000000,bottom
"D210","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-220.000000,-93.750000,0.000000,bottom
"D211","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-229.500000,-95.250000,0.000000,bottom
"D212","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-237.500000,-94.250000,0.000000,bottom
"D213","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-248.000000,-96.250000,0.000000,bottom
"D214","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-256.000000,-94.750000,0.000000,bottom
"D215","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-265.500000,-92.750000,0.000000,bottom
"D216","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-274.000000,-90.750000,0.000000,bottom
"D217","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-29.500000,-101.750000,0.000000,bottom
"D218","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-47.000000,-105.250000,0.000000,bottom
"D219","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-65.500000,-104.750000,0.000000,bottom
"D220","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-84.000000,-104.750000,0.000000,bottom
"D221","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-92.500000,-105.750000,0.000000,bottom
"D222","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-101.500000,-107.750000,0.000000,bottom
"D223","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-119.000000,-112.250000,0.000000,bottom
"D224","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-186.500000,-109.750000,0.000000,bottom
"D225","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-195.000000,-107.750000,0.000000,bottom
"D226","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-203.000000,-105.750000,0.000000,bottom
"D227","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-221.500000,-102.250000,0.000000,bottom
"D228","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-240.000000,-102.750000,0.000000,bottom
"D229","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-259.000000,-103.250000,0.000000,bottom
"D230","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-276.000000,-99.250000,0.000000,bottom
"D231","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-100.000000,-116.750000,0.000000,bottom
"D232","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-109.000000,-117.750000,0.000000,bottom
"D233","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-117.000000,-118.750000,0.000000,bottom
"D234","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-126.000000,-121.250000,0.000000,bottom
"D235","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-134.000000,-122.250000,0.000000,bottom
"D236","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-161.500000,-122.750000,0.000000,bottom
"D237","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-170.000000,-120.750000,0.000000,bottom
"D238","SK6812MINI-E","SK6812MINI-E_NoSilk-dril-PCBA",-179.000000,-119.250000,0.000000,bottom
